extending 239 unique hits...
offset	key	variant	length	plaintext
0x8589f8	0x09e75581e37f113d	counter_cumsum	16	сохраненжцщ**эН:
0x858aa0	0xc5850165ebd17bf3	counter_cumsum	16	сохраненЦ4G~^qfГ
0x858ae0	0x6d3dbdc77fcb45c5	counter_cumsum	8	сохранен
0x858c98	0x1dff35238dcb6965	counter_cumsum	11	сохранен:39
0x85a260	0x7fd7196df1db7f3d	counter_cumsum	11	сохраненUbФ
0x85a318	0xcd658f89072f5d47	counter_cumsum	8	сохранен
0x85a400	0x65c53b152b231d07	simple_xor	8	установл
0x85acf8	0x9923450d2b4bef57	simple_xor	12	установл(9НТ
0x9000e8	0xcbd183fffdf7b7d1	simple_xor	18	установлфааз:'йюпв
0x900100	0x0d93c19123952b9d	simple_xor	17	установленных игр
0x85ad58	0x3fb537519999159d	simple_xor	13	установлмК$ЛV
0x85ae48	0xbfd9fb9d85f9b781	simple_xor	8	установл
0x85a400	0x65c53b152b231d07	counter_xor	8	установл
0x85acf8	0x9923450d2b4bef57	counter_xor	12	установл'&ИС
0x9000e8	0xcbd183fffdf7b7d1	counter_xor	18	установленные игры
0x900100	0x0d93c19123952b9d	counter_xor	17	установлфимчк#ндп
0x85ad58	0x3fb537519999159d	counter_xor	13	установлнХ'ОU
0x85ae48	0xbfd9fb9d85f9b781	counter_xor	8	установл
0x857698	0x27431775e57f7561	counter_cumsum	8	установл
0x858050	0xd9d533e11d35396b	counter_cumsum	8	установл
0x858140	0x976d2bef15ab878b	counter_cumsum	9	установлЩ
0x859ba0	0x27f7138bffa95701	counter_cumsum	8	установл
0x900070	0x4f8d2f81233f73d1	counter_cumsum	13	установлфтS_K
0x85a180	0x05078773b707319b	counter_cumsum	9	Настройк_
0x85a568	0x6d71559bf5b90bed	simple_xor	9	Информац'
0x85a570	0x55ddbd77e3ff6323	simple_xor	17	ИнформацЭ,Э-]LЭ}Е
0x85a608	0xcb4b4159ad8f1117	simple_xor	13	ИнформацД`SБD
0x85a568	0x6d71559bf5b90bed	counter_xor	9	Информац$
0x85a570	0x55ddbd77e3ff6323	counter_xor	10	ИнформацШ+
0x85a608	0xcb4b4159ad8f1117	counter_xor	13	ИнформацКcLАG
0x8598a0	0xedcbf77947cfdb3b	counter_cumsum	8	Информац
0x85a460	0xb7695b379fe16363	counter_cumsum	8	Информац
0x85a4c0	0xc98b433b154591f5	counter_cumsum	10	ИнформацГ3
