prefix	variant	key	offset
Установк	simple_xor	0x69318d016f4b3dcf	0x8581b8
Установк	simple_xor	0xdb05895585bd159d	0x859fc8
Установк	simple_xor	0xa9b7bdafd5f5d93d	0x85a130
Установк	simple_xor	0x0d6f3f4dcf7de7f7	0x85a140
Установк	counter_xor	0x69318d016f4b3dcf	0x8581b8
Установк	counter_xor	0xdb05895585bd159d	0x859fc8
Установк	counter_xor	0xa9b7bdafd5f5d93d	0x85a130
Установк	counter_xor	0x0d6f3f4dcf7de7f7	0x85a140
Установк	counter_cumsum	0x2d6f036d75d789f1	0x858290
Установк	counter_cumsum	0xa5cd0bf3e36f4743	0x859b68
Установк	counter_cumsum	0x0133e303bded29ab	0x85a0e8
Установи	simple_xor	0x1bcb07e5f1e1d733	0x85b0c8
Установи	counter_xor	0x1bcb07e5f1e1d733	0x85b0c8
Установл	simple_xor	0xa3157da92125379f	0x8594c8
Установл	simple_xor	0xf9d339b97b4fbd19	0x85a0a0
Установл	counter_xor	0xa3157da92125379f	0x8594c8
Установл	counter_xor	0xf9d339b97b4fbd19	0x85a0a0
Установл	counter_cumsum	0x5dbb5b1fd1039357	0x859e18
Установл	counter_cumsum	0x2b930f0907032f49	0x85a3e8
Установл	counter_cumsum	0x55dd8d8151775bd1	0x85a8e0
Удаление	simple_xor	0xb1b93f7d55bdd511	0x858870
Удаление	simple_xor	0x6d9fdb5581618be7	0x858cf8
Удаление	simple_xor	0x5181912f67c38711	0x8594f0
Удаление	simple_xor	0x7fd7196df1db7f3d	0x85a258
Удаление	simple_xor	0xcb318351bdc9ff87	0x85a2c0
Удаление	simple_xor	0xcd658f89072f5d47	0x85a310
Удаление	simple_xor	0x717d6f55092b7f55	0x85a330
Удаление	simple_xor	0x61374ff9f9f723eb	0x85aae0
Удаление	counter_xor	0xb1b93f7d55bdd511	0x858870
Удаление	counter_xor	0x6d9fdb5581618be7	0x858cf8
Удаление	counter_xor	0x5181912f67c38711	0x8594f0
Удаление	counter_xor	0x7fd7196df1db7f3d	0x85a258
Удаление	counter_xor	0xcb318351bdc9ff87	0x85a2c0
Удаление	counter_xor	0xcd658f89072f5d47	0x85a310
Удаление	counter_xor	0x717d6f55092b7f55	0x85a330
Удаление	counter_xor	0x61374ff9f9f723eb	0x85aae0
Удаление	counter_cumsum	0x998521a5b12781c5	0x857790
Удаление	counter_cumsum	0x8761cdb90f0323f9	0x857850
Удаление	counter_cumsum	0x2921abad29c94559	0x858018
Удаление	counter_cumsum	0x4bd12f5955f57de5	0x858218
Удаление	counter_cumsum	0xf79b4d9d8f817f73	0x858a60
Удаление	counter_cumsum	0x298f5f038fbd5d53	0x85a2a0
Удаление	counter_cumsum	0x331b85efd39b2b67	0x85a2c8
Удаление	counter_cumsum	0x536bcb5581734b61	0x85a870
Удаление	counter_cumsum	0xed69a159559f51bd	0x85ab90
Удаляетс	simple_xor	0x83b353f583eb356f	0x859390
Удаляетс	simple_xor	0xaf8163f3f5c1edbb	0x859448
Удаляетс	counter_xor	0x83b353f583eb356f	0x859390
Удаляетс	counter_xor	0xaf8163f3f5c1edbb	0x859448
Удаляетс	counter_cumsum	0xe3630bb39de37dcf	0x857ba0
Загрузка	counter_cumsum	0x0dc505f513f12d2d	0x859f38
Загружен	counter_cumsum	0x93dbcbd9e7bbf973	0x85ace8
Загружае	counter_cumsum	0x7991f55d09b5a18f	0x85acd8
Сохранен	simple_xor	0xbbc3b7a1676f8991	0x859878
Сохранен	counter_xor	0xbbc3b7a1676f8991	0x859878
Сохранен	counter_cumsum	0xed030bf9afedd19d	0x858ac8
Сохранён	counter_cumsum	0x879b751539874163	0x85a5a0
сохранен	simple_xor	0x75cb5d4951c92ddd	0x857ca8
сохранен	simple_xor	0x11655bb3ad3dc9a9	0x857d48
сохранен	simple_xor	0xb50391c513afc795	0x858a58
сохранен	simple_xor	0x3d8dc38fe7d51dbd	0x858b08
сохранен	simple_xor	0x49f53153a16543d7	0x858ce0
сохранен	simple_xor	0xcfb139274d21cb19	0x8f7a50
сохранен	simple_xor	0xa961534f0329fb01	0x859920
сохранен	simple_xor	0xaff7c78d7d91c927	0x85a2b0
сохранен	simple_xor	0x717d6f55092b7f55	0x85a338
сохранен	simple_xor	0xa54f05039fdb8df1	0x85ba90
сохранен	simple_xor	0x57a5a7e10b3d6153	0x85a998
сохранен	simple_xor	0x0fcfb5e7b39f71af	0x85b0c0
сохранен	counter_xor	0x75cb5d4951c92ddd	0x857ca8
сохранен	counter_xor	0x11655bb3ad3dc9a9	0x857d48
сохранен	counter_xor	0xb50391c513afc795	0x858a58
сохранен	counter_xor	0x3d8dc38fe7d51dbd	0x858b08
сохранен	counter_xor	0x49f53153a16543d7	0x858ce0
сохранен	counter_xor	0xcfb139274d21cb19	0x8f7a50
сохранен	counter_xor	0xa961534f0329fb01	0x859920
сохранен	counter_xor	0xaff7c78d7d91c927	0x85a2b0
сохранен	counter_xor	0x717d6f55092b7f55	0x85a338
сохранен	counter_xor	0xa54f05039fdb8df1	0x85ba90
сохранен	counter_xor	0x57a5a7e10b3d6153	0x85a998
сохранен	counter_xor	0x0fcfb5e7b39f71af	0x85b0c0
сохранен	counter_cumsum	0x0725656b8bef4335	0x8575a8
сохранен	counter_cumsum	0x0d1bdda5336f5767	0x857cb8
сохранен	counter_cumsum	0x79ff0da3dd09998d	0x857cf0
сохранен	counter_cumsum	0xafc169edd9a3b993	0x857d20
сохранен	counter_cumsum	0x43d3b5832dc1097b	0x858a88
сохранен	counter_cumsum	0x09e75581e37f113d	0x8589f8
сохранен	counter_cumsum	0xc5850165ebd17bf3	0x858aa0
сохранен	counter_cumsum	0x6d3dbdc77fcb45c5	0x858ae0
сохранен	counter_cumsum	0x1dff35238dcb6965	0x858c98
сохранен	counter_cumsum	0x7fd7196df1db7f3d	0x85a260
сохранен	counter_cumsum	0xcd658f89072f5d47	0x85a318
установл	simple_xor	0x65c53b152b231d07	0x85a400
установл	simple_xor	0x9923450d2b4bef57	0x85acf8
установл	simple_xor	0xcbd183fffdf7b7d1	0x9000e8
установл	simple_xor	0x0d93c19123952b9d	0x900100
установл	simple_xor	0x3fb537519999159d	0x85ad58
установл	simple_xor	0xbfd9fb9d85f9b781	0x85ae48
установл	counter_xor	0x65c53b152b231d07	0x85a400
установл	counter_xor	0x9923450d2b4bef57	0x85acf8
установл	counter_xor	0xcbd183fffdf7b7d1	0x9000e8
установл	counter_xor	0x0d93c19123952b9d	0x900100
установл	counter_xor	0x3fb537519999159d	0x85ad58
установл	counter_xor	0xbfd9fb9d85f9b781	0x85ae48
установл	counter_cumsum	0x27431775e57f7561	0x857698
установл	counter_cumsum	0xd9d533e11d35396b	0x858050
установл	counter_cumsum	0x976d2bef15ab878b	0x858140
установл	counter_cumsum	0x27f7138bffa95701	0x859ba0
установл	counter_cumsum	0x4f8d2f81233f73d1	0x900070
Настройк	counter_cumsum	0x05078773b707319b	0x85a180
Информац	simple_xor	0x6d71559bf5b90bed	0x85a568
Информац	simple_xor	0x55ddbd77e3ff6323	0x85a570
Информац	simple_xor	0xcb4b4159ad8f1117	0x85a608
Информац	counter_xor	0x6d71559bf5b90bed	0x85a568
Информац	counter_xor	0x55ddbd77e3ff6323	0x85a570
Информац	counter_xor	0xcb4b4159ad8f1117	0x85a608
Информац	counter_cumsum	0xedcbf77947cfdb3b	0x8598a0
Информац	counter_cumsum	0xb7695b379fe16363	0x85a460
Информац	counter_cumsum	0xc98b433b154591f5	0x85a4c0
