rodata_off	variant	key	clean_len	total_len	clean_text
0x85a8e0	counter_cumsum	0x55dd8d8151775bd1	8	8	Установл
0x85a2c0	simple_xor	0xcb318351bdc9ff87	8	8	Удаление
0x85aae0	simple_xor	0x61374ff9f9f723eb	8	10	Удаление
0x857850	counter_cumsum	0x8761cdb90f0323f9	8	9	Удаление
0x858018	counter_cumsum	0x2921abad29c94559	8	13	Удаление
0x858218	counter_cumsum	0x4bd12f5955f57de5	8	10	Удаление
0x858a60	counter_cumsum	0xf79b4d9d8f817f73	8	8	Удаление
0x85a2a0	counter_cumsum	0x298f5f038fbd5d53	8	9	Удаление
0x85a2c8	counter_cumsum	0x331b85efd39b2b67	8	13	Удаление
0x85a870	counter_cumsum	0x536bcb5581734b61	8	9	Удаление
0x85ab90	counter_cumsum	0xed69a159559f51bd	8	8	Удаление
0x859390	simple_xor	0x83b353f583eb356f	8	8	Удаляетс
0x859448	simple_xor	0xaf8163f3f5c1edbb	8	10	Удаляетс
0x859f38	counter_cumsum	0x0dc505f513f12d2d	8	8	Загрузка
0x85ace8	counter_cumsum	0x93dbcbd9e7bbf973	8	8	Загружен
0x85acd8	counter_cumsum	0x7991f55d09b5a18f	8	8	Загружае
0x857d48	simple_xor	0x11655bb3ad3dc9a9	8	9	сохранен
0x858a58	simple_xor	0xb50391c513afc795	8	8	сохранен
0x858b08	simple_xor	0x3d8dc38fe7d51dbd	8	9	сохранен
0x859920	simple_xor	0xa961534f0329fb01	8	8	сохранен
0x85a2b0	simple_xor	0xaff7c78d7d91c927	8	8	сохранен
0x85a338	simple_xor	0x717d6f55092b7f55	8	9	сохранен
0x85a998	simple_xor	0x57a5a7e10b3d6153	8	9	сохранен
0x85b0c0	simple_xor	0x0fcfb5e7b39f71af	8	10	сохранен
0x857cb8	counter_cumsum	0x0d1bdda5336f5767	8	10	сохранен
0x857d20	counter_cumsum	0xafc169edd9a3b993	8	8	сохранен
0x858a88	counter_cumsum	0x43d3b5832dc1097b	8	8	сохранен
0x858ae0	counter_cumsum	0x6d3dbdc77fcb45c5	8	8	сохранен
0x85a260	counter_cumsum	0x7fd7196df1db7f3d	8	11	сохранен
0x85a318	counter_cumsum	0xcd658f89072f5d47	8	8	сохранен
0x85a400	simple_xor	0x65c53b152b231d07	8	8	установл
0x85ae48	simple_xor	0xbfd9fb9d85f9b781	8	8	установл
0x857698	counter_cumsum	0x27431775e57f7561	8	8	установл
0x858050	counter_cumsum	0xd9d533e11d35396b	8	8	установл
0x859ba0	counter_cumsum	0x27f7138bffa95701	8	8	установл
0x8598a0	counter_cumsum	0xedcbf77947cfdb3b	8	8	Информац
0x85a460	counter_cumsum	0xb7695b379fe16363	8	8	Информац
0x85abb0	counter_cumsum	0x05a1859fc91faf51	8	8	Информац
0x85b060	counter_cumsum	0xdd05515d8525233f	8	8	Информац
0x859e50	counter_cumsum	0xa9cbb3f5112bfd7b	8	8	Пожалуйс
0x85a1b8	counter_cumsum	0x3bf5c503ff4131cb	8	8	Пожалуйс
0x85aac8	counter_cumsum	0xdb338d1929fdc993	8	13	Завершен
0x857858	simple_xor	0xc3cb41a9e313a54f	8	8	копирова
0x85a388	simple_xor	0x956f59d165b3fd3d	8	9	Восстано
0x85aea8	simple_xor	0xe97ff1638509977f	8	10	Распаков
